Rank,Group,Name ,Country,Jump_1_Prelim,Jump_2_Prelim,Jump_3_Prelim,Jump_1_Final,Jump_2_Final,Jump_3_Final,Jump_4_Final,Jump_5_Final,Jump_6_Final,Year,Gender
39,B,George Kitchens,United States,X,X,6.84,,,,,,,2012,Men
40,A,Vardan Pahlevanyan,Armenia,X,6.55,X,,,,,,,2012,Men
?,B,Luis Felipe MÇliz,Spain,X,?,?,,,,,,,2012,Men
,B,Irving Saladino,Panama,X,X,X,No mark,,,,,,2012,Men
1,B,Brittney Reese,United States,x,6.87,,6.65,6.76,4.23,x,6.46,6.67,2008,Women
2,A,Maurren Higa Maggi,Brazil,6.68,6.79,,7.04,x,x,x,6.73,x,2008,Women
3,B,Tatyana Lebedeva,Russia,6.65,6.7,,6.97,x,x,x,x,7.03,2008,Women
4,A,Carolina KlÅft,Sweden,6.7,x,,x,6.49,6.42,,,,2008,Women
5,A,Grace Upshaw,United States,6.47,6.68,x,6.58,x,6.52,x,x,x,2008,Women
6,A,Oksana Udmurtova,Russia,6.48,x,6.63,6.69,6.7,6.67,6.61,6.65,6.49,2008,Women
7,B,Keila Costa,Brazil,x,6.44,6.62,x,x,6.43,,,,2008,Women
8,A,Tabia Charles,Canada,6.33,6.61,6.49,6.16,6.38,6.47,,,,2008,Women
9,A,Funmi Jimoh,United States,6.42,6.28,6.61,6.24,x,6.29,,,,2008,Women
10,B,Jade Johnson,Great Britain,6.33,6.15,6.61,6.51,6.64,6.4,6.59,6.43,x,2008,Women
11,A,Chelsea Hammond,Jamaica,6.6,x,x,6.79,6.68,6.51,x,6.64,6.59,2008,Women
12,B,Blessing Okagbare,Nigeria,6.37,6.49,6.59,6.91,6.62,6.79,6.7,6.83,x,2008,Women
13,B,Tatyana Kotova,Russia,6.37,6.57,x,,,,,,,2008,Women
14,A,Hrysopiy° Devetz°,Greece,x,6.57,x,,,,,,,2008,Women
15,B,Concepci¢n Montaner,Spain,6.53,6.42,6.43,,,,,,,2008,Women
16,B,Bronwyn Thompson,Australia,x,6.53,x,,,,,,,2008,Women
17,A,Yargelis Savigne,Cuba,x,x,6.49,,,,,,,2008,Women
18,B,Iryna Charnushenka-Stasiuk,Belarus,6.48,x,x,,,,,,,2008,Women
19,B,Kumiko Ikeda,Japan,6.44,6.47,x,,,,,,,2008,Women
20,A,Denisa ??erbov†,Czech Republic,6.4,6.46,5.17,,,,,,,2008,Women
21,A,Patricia Sylvester,Grenada,6.44,6.42,6.38,,,,,,,2008,Women
22,B,Viorica ?ig?u,Romania,x,6.38,6.44,,,,,,,2008,Women
23,A,Viktoriya Rybalko,Ukraine,x,x,6.43,,,,,,,2008,Women
24,A,Karin Melis Mey,Turkey,x,6.42,x,,,,,,,2008,Women
25,B,Ruky Abdulai,Canada,x,6.41,6.25,,,,,,,2008,Women
26,A,Nina Kolari?,Slovenia,4.92,6.19,6.4,,,,,,,2008,Women
27,B,Ksenija Balta,Estonia,x,6.38,x,,,,,,,2008,Women
28,B,Soon-ok Jung,South Korea,x,x,6.33,,,,,,,2008,Women
29,B,Olga Rypakova,Kazakhstan,x,6.3,6.04,,,,,,,2008,Women
30,B,Ivana ?panovi?,Serbia,x,x,6.3,,,,,,,2008,Women
31,A,Naide Gomes,Portugal,x,x,6.29,,,,,,,2008,Women
32,A,Volha Sergeenka,Belarus,6.25,6.02,6.09,,,,,,,2008,Women
33,B,Oleksandra Stadnyuk,Ukraine,x,6.19,x,,,,,,,2008,Women
34,B,Marestella Torres,Philippines,4.27,5.94,6.17,,,,,,,2008,Women
